#{"t_start": 1747523962.9248097, "env_id": "None"}
r,l,t
5.464708,9,94.195831
2.7563965,12,94.278316
4.8118353,10,94.341047
2.9563205,8,94.392809
6.601716,10,94.456846
4.5760984,10,94.510299
6.7844586,10,94.558029
8.535575,11,94.606527
2.2551522,11,94.655552
3.9674792,10,94.701496
2.23776,12,94.758402
3.8853648,10,95.210791
7.4512057,10,95.256862
5.5625043,10,95.328854
4.746268,10,95.414987
8.75497,9,95.471928
3.9467313,10,95.524717
4.698919,10,95.572716
5.9278765,11,95.627635
8.605201,10,95.671096
4.802925,9,95.719303
4.3000007,10,95.799906
8.219562,9,95.858313
3.4332683,11,95.944189
3.5041347,10,95.999051
6.7664347,9,96.048146
2.4707754,9,96.093953
7.6649613,11,96.154191
3.9365969,11,96.214065
4.0747623,9,96.259689
4.083661,9,96.303678
7.059422,10,96.372013
5.5032516,9,96.416175
0.45000002,9,96.479293
-0.45000002,11,96.53721
1.25,8,99.401594
1.419944,10,99.447954
4.9306536,9,99.492756
5.870092,10,99.534791
1.975661,9,99.575135
4.7972116,9,99.620832
2.6000001,10,99.669984
5.2041306,10,99.713272
3.7576973,11,99.771184
3.672993,10,99.834994
5.15,10,99.907821
2.3855667,10,100.005626
4.5643167,10,100.062974
6.8029156,11,100.138505
5.50125,9,100.193505
5.5520854,10,100.246347
9.126922,10,100.299778
6.409194,9,100.348219
6.659379,11,100.402572
6.049063,10,100.451384
7.24034,10,100.523638
4.125205,9,100.585963
6.0279818,10,100.652205
4.29165,10,100.724741
4.845128,10,100.788062
