steps,total_reward,max_alert_level,final_alert_level,total_data_exfiltrated,final_nodes_compromised,nodes_compromised_history,alert_level_history,data_exfiltrated_history,resources_left,action_distribution,model
10,4.42869919620305,0.003286991962030506,0.003286991962030506,0.03286991962030506,1,"[0, 0, 0, 0, 1, 1, 1, 1, 1, 1]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0008881690208209974, 0.0009337482766881243, 0.0017265602709948505, 0.003286991962030506]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.008881690208209975, 0.009337482766881244, 0.017265602709948508, 0.03286991962030506]",0,"[4, 1, 1, 0, 4, 0]",DQN
10,3.740508666070332,0.7549050866607033,0.7549050866607033,0.049050866607033214,1,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0.0, 0.0, 0.15, 0.3, 0.44999999999999996, 0.6, 0.75, 0.75, 0.7541791940920985, 0.7549050866607033]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04179194092098497, 0.049050866607033214]",0,"[1, 1, 6, 0, 2, 0]",DQN
10,2.973039842667728,0.6047303984266772,0.6047303984266772,0.04730398426677278,1,"[0, 0, 1, 1, 1, 1, 1, 1, 1, 1]","[0.0, 0.0, 0.0, 0.15, 0.3, 0.44999999999999996, 0.6, 0.6, 0.6026421139157162, 0.6047303984266772]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02642113915716251, 0.04730398426677278]",0,"[2, 1, 5, 0, 2, 0]",DQN
10,4.128225170602409,0.3052822517060241,0.3052822517060241,0.05282251706024098,1,"[0, 0, 1, 1, 1, 1, 1, 1, 1, 1]","[0.0, 0.0, 0.0, 0.15, 0.3, 0.3, 0.3011505108938, 0.30297728620980463, 0.3048831516796121, 0.3052822517060241]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.011505108938000337, 0.029772862098046752, 0.04883151679612129, 0.05282251706024098]",0,"[2, 1, 3, 0, 4, 0]",DQN
10,1.7828773191421767,0.45132877319142173,0.45132877319142173,0.013287731914217673,1,"[0, 0, 0, 0, 0, 1, 1, 1, 1, 1]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.15, 0.3, 0.44999999999999996, 0.45132877319142173]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.013287731914217673]",0,"[5, 1, 3, 0, 1, 0]",DQN
10,4.839969289940782,0.006899692899407805,0.006899692899407805,0.06899692899407806,1,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0.0, 0.0, 0.0, 0.0, 0.002622025097965112, 0.004805098622097706, 0.0062137509782818744, 0.006319973456224274, 0.00637462370079517, 0.006899692899407805]","[0.0, 0.0, 0.0, 0.0, 0.026220250979651118, 0.04805098622097706, 0.06213750978281875, 0.06319973456224275, 0.06374623700795172, 0.06899692899407806]",0,"[1, 2, 1, 0, 6, 0]",DQN
10,0.050000000000000044,0.0,0.0,0.0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",-1,"[9, 0, 0, 0, 0, 1]",DQN
10,4.653700157035587,0.15703700157035586,0.15703700157035586,0.07037001570355864,1,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0.0, 0.0, 0.15, 0.15, 0.15361933671104194, 0.1551677214584254, 0.15635230580621187, 0.15648172974792776, 0.15685585765159515, 0.15703700157035586]","[0.0, 0.0, 0.0, 0.0, 0.03619336711041942, 0.05167721458425388, 0.06352305806211883, 0.0648172974792777, 0.06855857651595175, 0.07037001570355864]",0,"[1, 1, 2, 0, 6, 0]",DQN
10,4.825377694616029,0.006753776946160291,0.006753776946160291,0.06753776946160289,1,"[0, 0, 0, 1, 1, 1, 1, 1, 1, 1]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0029217687084576744, 0.004251106304213024, 0.0057382189161316495, 0.0065162749794073355, 0.006753776946160291]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.02921768708457674, 0.04251106304213023, 0.05738218916131649, 0.06516274979407334, 0.06753776946160289]",0,"[3, 1, 1, 0, 5, 0]",DQN
10,5.2888578865031,0.006388578865031002,0.006388578865031002,0.06388578865031003,1,"[0, 0, 0, 0, 0, 1, 1, 1, 1, 1]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.003461173647173807, 0.005111271841871147, 0.006388578865031002]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03461173647173807, 0.05111271841871147, 0.06388578865031003]",0,"[5, 1, 1, 0, 3, 0]",DQN
